Material,Description,Article_ID,Weight_kg,Quantity,Reserved
HDC,Material is Oiled,23048203,24469,52,NOT RESERVED
S235JR,Material is Oiled,23040547,16984,41,NOT RESERVED
S235JR,Material is Painted,23046057,9162,28,NOT RESERVED
DX51D +AZ150,Material is Oiled,23041966,12119,66,VANILLA
HDC,Material is Painted,23043884,17260,26,NOT RESERVED
DX51D +Z140,Material is not Oiled,23048868,23258,60,VANILLA
HDC,Material is Oiled,23046459,20994,93,VANILLA
HDC,Material is Oiled,23043788,22325,73,NOT RESERVED
S235JR,Material is Oiled,23044935,10571,60,NOT RESERVED
DX51D +Z140,Material is not Oiled,23049059,12999,95,VANILLA
HDC,Material is not Oiled,23047860,15862,59,NOT RESERVED
DX51D +AZ150,Material is Painted,23047939,9217,72,NOT RESERVED
S235JR,Material is not Oiled,23047348,15881,36,NOT RESERVED
HDC,Material is Painted,23045961,23915,30,VANILLA
S235JR,Material is Painted,23042649,15741,71,NOT RESERVED
S235JR,Material is not Oiled,23048176,15717,54,VANILLA
S235JR,Material is Painted,23043667,23967,10,NOT RESERVED
HDC,Material is not Oiled,23046190,21346,58,VANILLA
S235JR,Material is not Oiled,23044291,10389,22,NOT RESERVED
S235JR,Material is Oiled,23046841,18501,94,VANILLA
S235JR,Material is Oiled,23041008,14277,33,VANILLA
S235JR,Material is Oiled,23041560,24951,98,NOT RESERVED
HDC,Material is Painted,23043638,15121,12,NOT RESERVED
DX51D +AZ150,Material is Oiled,23041902,17933,72,NOT RESERVED
DX51D +AZ150,Material is not Oiled,23049627,20304,82,VANILLA
HDC,Material is not Oiled,23044610,20027,96,VANILLA
DX51D +Z140,Material is not Oiled,23049106,23131,34,NOT RESERVED
S235JR,Material is Painted,23048028,6113,29,NOT RESERVED
DX51D +AZ150,Material is Oiled,23045099,9037,78,NOT RESERVED
S235JR,Material is not Oiled,23046741,24331,31,VANILLA
DX51D +Z140,Material is Painted,23047239,11898,21,VANILLA
DX51D +AZ150,Material is Oiled,23049907,21609,33,NOT RESERVED
S235JR,Material is Painted,23044447,19165,67,VANILLA
HDC,Material is not Oiled,23047489,18716,64,NOT RESERVED
S235JR,Material is not Oiled,23040273,7025,33,VANILLA
DX51D +Z140,Material is Painted,23040905,14796,76,VANILLA
DX51D +Z140,Material is not Oiled,23043967,21149,62,NOT RESERVED
S235JR,Material is Painted,23045724,16393,68,VANILLA
HDC,Material is not Oiled,23049672,21321,93,VANILLA
DX51D +AZ150,Material is Oiled,23049617,22395,62,NOT RESERVED
DX51D +AZ150,Material is Painted,23043836,9355,64,VANILLA
S235JR,Material is Painted,23049333,10143,78,NOT RESERVED
HDC,Material is Oiled,23041897,17001,62,VANILLA
S235JR,Material is not Oiled,23040756,6034,50,NOT RESERVED
DX51D +AZ150,Material is Oiled,23041086,15230,95,NOT RESERVED
DX51D +Z140,Material is not Oiled,23047543,9940,96,NOT RESERVED
DX51D +AZ150,Material is Painted,23045292,23884,51,NOT RESERVED
S235JR,Material is Oiled,23047408,5302,12,VANILLA
DX51D +Z140,Material is Oiled,23043348,16927,69,VANILLA
HDC,Material is not Oiled,23043386,11191,75,VANILLA
